feature_index,feature_id,feature_name,feature_type,total_signal,mean_signal_per_cell,positive_cells,positive_fraction
0,ENSG00000121270,ABCC11,Gene Expression,823.0,0.001767862282883742,783,0.0016819394501797935
1,ENSG00000130234,ACE2,Gene Expression,5589.0,0.012005567799559216,3951,0.008487027800332522
2,ENSG00000213088,ACKR1,Gene Expression,28634.0,0.0615078597911216,16326,0.035069404168116616
3,ENSG00000107796,ACTA2,Gene Expression,604222.0,1.2979116455511306,182778,0.39262008789905783
4,ENSG00000163017,ACTG2,Gene Expression,172347.0,0.37021356120068566,93208,0.200217384766741
5,ENSG00000042980,ADAM28,Gene Expression,95362.0,0.20484432930784863,60631,0.13023968174182765
6,ENSG00000154734,ADAMTS1,Gene Expression,367776.0,0.7900088930131849,105603,0.22684272255087706
7,ENSG00000174837,ADGRE1,Gene Expression,20217.0,0.043427547719393216,15163,0.03257119780724931
8,ENSG00000162618,ADGRL4,Gene Expression,145577.0,0.3127097054135681,60958,0.13094210089918246
9,ENSG00000248144,ADH1C,Gene Expression,6069.0,0.013036641792006599,4686,0.010065859851267577
10,ENSG00000198099,ADH4,Gene Expression,2777.0,0.005965192660471631,2433,0.005226256299217673
11,ENSG00000181092,ADIPOQ,Gene Expression,3526.0,0.0075740977028530675,2931,0.0062959955663818325
12,ENSG00000204305,AGER,Gene Expression,5955.0,0.012791761718800346,4771,0.010248445870763467
13,ENSG00000173467,AGR3,Gene Expression,2779.0,0.005969488802106828,2363,0.0050758913419857625
14,ENSG00000169877,AHSP,Gene Expression,3364.0,0.007226110230402076,2842,0.006104817263615547
15,ENSG00000204472,AIF1,Gene Expression,290435.0,0.6238749479092827,151294,0.3249902262777799
16,ENSG00000158578,ALAS2,Gene Expression,2732.0,0.005868529473679688,2285,0.0049083418182130625
17,ENSG00000184254,ALDH1A3,Gene Expression,41634.0,0.08943278041990488,27296,0.05863374103717452
18,ENSG00000243480,AMY2A,Gene Expression,14111.0,0.03031142730713546,11377,0.024438601691820577
19,ENSG00000091879,ANGPT2,Gene Expression,59163.0,0.12708631378159274,32805,0.07046746317132584
20,ENSG00000166825,ANPEP,Gene Expression,97188.0,0.20876670662078387,46407,0.09968552243230355
21,ENSG00000154856,APCDD1,Gene Expression,27081.0,0.05817190581139079,19291,0.0414384341422968
22,ENSG00000110243,APOA5,Gene Expression,6175.0,0.013264337298672062,5043,0.010832721133150317
23,ENSG00000128383,APOBEC3A,Gene Expression,21735.0,0.04668831922050806,16084,0.03454957103025773
24,ENSG00000178878,APOLD1,Gene Expression,166786.0,0.3582681393840192,76166,0.1636099618932237
25,ENSG00000167580,AQP2,Gene Expression,2091.0,0.004491616079598912,1720,0.0036946818062697892
26,ENSG00000165272,AQP3,Gene Expression,3690.0,0.007926381316939258,3152,0.006770719217071148
27,ENSG00000103375,AQP8,Gene Expression,4810.0,0.010332220632649818,3945,0.00847413937542693
28,ENSG00000103569,AQP9,Gene Expression,20559.0,0.04416218793901197,14434,0.031005254181219848
29,ENSG00000169083,AR,Gene Expression,3400.0,0.00730344077983563,3020,0.006487173869148118
30,ENSG00000112379,ARFGEF3,Gene Expression,2031.0,0.004362731830542989,1972,0.004235995652304665
31,ENSG00000139352,ASCL1,Gene Expression,2321.0,0.004985672367646616,1809,0.0038858601090360745
32,ENSG00000176009,ASCL3,Gene Expression,6242.0,0.013408258043451176,5237,0.011249446871764468
33,ENSG00000106819,ASPN,Gene Expression,30789.0,0.06613695240304682,19178,0.04119570213990815
34,ENSG00000163399,ATP1A1,Gene Expression,373305.0,0.8018855765636882,159742,0.34313712854485384
35,ENSG00000095739,BAMBI,Gene Expression,44755.0,0.09613690944163047,25239,0.05421515936537396
36,ENSG00000153064,BANK1,Gene Expression,75822.0,0.16287102553196975,37491,0.0805333230225934
37,ENSG00000176788,BASP1,Gene Expression,380252.0,0.8168082245335464,156843,0.3369098712446352
38,ENSG00000129151,BBOX1,Gene Expression,3494.0,0.007505359436689909,2687,0.005771866286887746
39,ENSG00000171791,BCL2,Gene Expression,76456.0,0.16423290243032732,58750,0.1261991605339245
40,ENSG00000153094,BCL2L11,Gene Expression,189095.0,0.40618945125382894,97065,0.20850249391021924
41,ENSG00000102010,BMX,Gene Expression,11207.0,0.024073429652828795,7630,0.016389780338278193
42,ENSG00000165810,BTNL9,Gene Expression,17797.0,0.038229216340804326,11198,0.024054097015470406
43,ENSG00000166920,C15orf48,Gene Expression,9739.0,0.020920061692593882,7010,0.01505797643136699
44,ENSG00000143110,C1orf162,Gene Expression,477721.0,1.0261785390540756,186553,0.400729055235493
45,ENSG00000179902,C1orf194,Gene Expression,4714.0,0.01012600583416034,4029,0.008654577324105222
46,ENSG00000124237,C20orf85,Gene Expression,740.0,0.0015895724050230488,596,0.0012802502072888338
47,ENSG00000178776,C5orf46,Gene Expression,27528.0,0.05913209346685742,15895,0.03414358564573157
48,ENSG00000112539,C6orf118,Gene Expression,2651.0,0.005694535737454192,1978,0.004248884077210258
49,ENSG00000112936,C7,Gene Expression,57796.0,0.12414990097393531,36035,0.07740573191216968
