target,measurement,subset,cells,positive_cells,positive_fraction,median_signal,median_distance_to_vessel_um_positive,positive_within_25um,positive_within_50um,positive_within_100um,median_local_caf_positive,median_local_ecm_positive
PD-L1,protein_intensity,all_cells,465534,18142,0.03897030077287588,0.0,16.97574670954068,0.6802447359717781,0.8983574027119392,0.9700694521000992,0.26877295472188667,0.0
PD-L1,protein_intensity,tumour_region,335789,15592,0.04643392130176986,0.0,16.62789425128222,0.6884940995382247,0.8971908671113391,0.9670985120574653,0.2833092603717118,0.0
PD-L1,protein_intensity,malignant_proxy,91300,2950,0.03231106243154436,0.0,23.837707791497735,0.5213559322033898,0.7996610169491526,0.9376271186440678,0.29051169522854237,0.0
PD-L1,protein_intensity,immune_high,3441,1272,0.36965998256320837,0.0,15.297514867739856,0.7476415094339622,0.9316037735849056,0.9787735849056604,0.24972133338398117,0.0
VISTA,protein_intensity,all_cells,465534,210325,0.4517929947114496,0.3864660086291792,13.298056793176976,0.781091168429811,0.9497254249375966,0.9919553072625699,0.26914491342444885,0.0
VISTA,protein_intensity,tumour_region,335789,147547,0.439403911384828,0.3062670657403139,13.389398329466566,0.7776572888638874,0.9452174561326222,0.9895829803384684,0.31101578353748,0.0
VISTA,protein_intensity,malignant_proxy,91300,27809,0.3045892661555312,0.0,12.13140002181984,0.7223560717753246,0.9029810493005861,0.9819123305404726,0.32631927778900316,0.0
VISTA,protein_intensity,immune_high,3441,1971,0.5727986050566696,0.5949617771674762,15.588130121717763,0.7447995941146626,0.9360730593607306,0.9888381532217149,0.24758396006400507,0.0
PD-1,protein_intensity,all_cells,465534,67693,0.1454093578557098,0.0,16.81404754720249,0.7192619620935695,0.9430369462130501,0.9910478188291256,0.2957923685394164,0.0
PD-1,protein_intensity,tumour_region,335789,59132,0.17609868101694814,0.0,16.782540952762044,0.7214875194480146,0.944327944260299,0.9904281945477914,0.3093255831206433,0.0
PD-1,protein_intensity,malignant_proxy,91300,6461,0.07076670317634173,0.0,21.81634291978624,0.574524067481814,0.860702677604086,0.9733787339421143,0.31961181861874993,0.0
PD-1,protein_intensity,immune_high,3441,779,0.22638767800058124,0.0,16.916437509246506,0.6970474967907574,0.920410783055199,0.982028241335045,0.2652383904825843,0.0
LAG-3,protein_intensity,all_cells,465534,87682,0.1883471454286905,0.0,16.390711904444636,0.7189502976665678,0.9347186423667343,0.9878424306014918,0.29568885204828343,0.0
LAG-3,protein_intensity,tumour_region,335789,77540,0.23091882104535885,0.0,16.643779022120675,0.7138896053649729,0.9327572865617746,0.9867681196801651,0.30711018900144693,0.0
LAG-3,protein_intensity,malignant_proxy,91300,10290,0.11270536692223439,0.0,21.15757995971136,0.5810495626822157,0.8588921282798834,0.9723032069970845,0.3187550940540524,0.0
LAG-3,protein_intensity,immune_high,3441,1327,0.3856437082243534,0.0,16.724190213680757,0.691785983421251,0.9140919366993218,0.987189148455162,0.26697643478794103,0.0
