definition,vessel_cells,vessel_fraction,all_median_um,all_q90_um,tumour_median_um,tumour_q90_um,target,target_positive_tumour_cells,target_median_um,target_q90_um,within_25um,within_50um,within_100um
inclusive_endothelial_or_pericyte_v0_3,77406,0.1662735697070461,14.867738892865024,43.49410001778529,14.957452711820888,43.62907107891251,PD-L1,15592,16.62789425128222,51.12143892607973,0.6884940995382247,0.8971908671113391,0.9670985120574653
inclusive_endothelial_or_pericyte_v0_3,77406,0.1662735697070461,14.867738892865024,43.49410001778529,14.957452711820888,43.62907107891251,VISTA,147547,13.389398329466566,38.00240801667658,0.7776572888638874,0.9452174561326222,0.9895829803384684
inclusive_endothelial_or_pericyte_v0_3,77406,0.1662735697070461,14.867738892865024,43.49410001778529,14.957452711820888,43.62907107891251,PD-1,59132,16.782540952762044,39.740954849781204,0.7214875194480146,0.944327944260299,0.9904281945477914
inclusive_endothelial_or_pericyte_v0_3,77406,0.1662735697070461,14.867738892865024,43.49410001778529,14.957452711820888,43.62907107891251,LAG-3,77540,16.643779022120675,42.00082698965876,0.7138896053649729,0.9327572865617746,0.9867681196801651
endothelial_score_otsu,76869,0.1651200556779956,14.591857354217215,41.27024508769369,14.553840469227255,40.51793379807715,PD-L1,15592,14.916193319725657,43.831620771960026,0.7362750128270908,0.9184197024114931,0.9726141611082606
endothelial_score_otsu,76869,0.1651200556779956,14.591857354217215,41.27024508769369,14.553840469227255,40.51793379807715,VISTA,147547,13.10991229310607,35.61179253581484,0.7941943922953364,0.9560817908869716,0.9919076633208401
endothelial_score_otsu,76869,0.1651200556779956,14.591857354217215,41.27024508769369,14.553840469227255,40.51793379807715,PD-1,59132,16.18531704140598,37.33855934524187,0.7455861462490698,0.9564195359534601,0.9934384089832916
endothelial_score_otsu,76869,0.1651200556779956,14.591857354217215,41.27024508769369,14.553840469227255,40.51793379807715,LAG-3,77540,15.964043413493137,39.02903938044857,0.739953572349755,0.9470208924426102,0.9898117100851174
cd31_otsu,137609,0.29559387713894153,9.503080643694773,28.421260433145097,9.016637484952915,25.689860197978938,PD-L1,15592,6.999251838543887,22.047958354375258,0.922139558748076,0.9789635710620831,0.9981400718317086
cd31_otsu,137609,0.29559387713894153,9.503080643694773,28.421260433145097,9.016637484952915,25.689860197978938,VISTA,147547,7.34863638133219,20.975744799278225,0.9345971114289007,0.9896575328539381,0.9990511498031136
cd31_otsu,137609,0.29559387713894153,9.503080643694773,28.421260433145097,9.016637484952915,25.689860197978938,PD-1,59132,8.696842756087793,22.353752742610414,0.9281269025231685,0.9914936075221539,0.9992897246837583
cd31_otsu,137609,0.29559387713894153,9.503080643694773,28.421260433145097,9.016637484952915,25.689860197978938,LAG-3,77540,8.619954438555906,23.101652196170235,0.9189321640443642,0.9876966726850658,0.9988908950219242
cd31_high_robust_0_5,96932,0.20821680049147862,12.542424932970338,38.064921213802876,12.310503485541279,36.36011042342245,PD-L1,15592,11.927544020923216,37.26156339958098,0.7970112878399179,0.9372113904566445,0.9771036428937917
cd31_high_robust_0_5,96932,0.20821680049147862,12.542424932970338,38.064921213802876,12.310503485541279,36.36011042342245,VISTA,147547,10.667438126521592,30.831865472366772,0.8469911282506591,0.9652178627827065,0.9934190461344521
cd31_high_robust_0_5,96932,0.20821680049147862,12.542424932970338,38.064921213802876,12.310503485541279,36.36011042342245,PD-1,59132,13.111281331639091,32.33325877001445,0.8178143813840222,0.9684265710613542,0.9957214367854968
cd31_high_robust_0_5,96932,0.20821680049147862,12.542424932970338,38.064921213802876,12.310503485541279,36.36011042342245,LAG-3,77540,12.928604092846307,34.04188533997565,0.8068867681196802,0.9596724271343823,0.9922749548620067
cd31_plus_any_endothelial_rna,103252,0.2217926080587025,11.65381170162074,33.424969553854226,11.210413630138403,30.918364498957562,PD-L1,15592,9.763648767393251,28.04183189046698,0.8724987172909184,0.9667136993329912,0.991341713699333
cd31_plus_any_endothelial_rna,103252,0.2217926080587025,11.65381170162074,33.424969553854226,11.210413630138403,30.918364498957562,VISTA,147547,9.688545370612184,26.27636240904897,0.8877035791984926,0.9824191613519759,0.9972212244234041
cd31_plus_any_endothelial_rna,103252,0.2217926080587025,11.65381170162074,33.424969553854226,11.210413630138403,30.918364498957562,PD-1,59132,11.775691101607368,28.220147107381763,0.8626970168436718,0.9843401204085774,0.998275045660556
cd31_plus_any_endothelial_rna,103252,0.2217926080587025,11.65381170162074,33.424969553854226,11.210413630138403,30.918364498957562,LAG-3,77540,11.543630801344555,28.957890290667645,0.8572478720660305,0.9792623162238845,0.9962213051328347
cd31_plus_two_endothelial_rna,41164,0.08842318713563349,21.294261487920103,62.03317423355544,21.41705646064308,65.25989708252928,PD-L1,15592,26.68178214174649,105.34675214589518,0.4673550538737814,0.776103129810159,0.8957157516675218
cd31_plus_two_endothelial_rna,41164,0.08842318713563349,21.294261487920103,62.03317423355544,21.41705646064308,65.25989708252928,VISTA,147547,19.354347025589014,56.83872667212723,0.6249940696862695,0.8758700617430378,0.9578574962554305
cd31_plus_two_endothelial_rna,41164,0.08842318713563349,21.294261487920103,62.03317423355544,21.41705646064308,65.25989708252928,PD-1,59132,22.711620670121334,58.16310083494565,0.5566360008117432,0.8687681796658324,0.955371034296151
cd31_plus_two_endothelial_rna,41164,0.08842318713563349,21.294261487920103,62.03317423355544,21.41705646064308,65.25989708252928,LAG-3,77540,23.122384457152833,64.37844798473228,0.54337116327057,0.8470853752901728,0.9474335826670106
